Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C15, C16, C17, C20, C21, C22, C3, C6, C7, C8",0603,13,100n,
"C10, C11",0603,2,47n,
"C14_2, C14, C4",0805,3,10u,
"C18, C19",0805,2,2.2u,
C2,1206,1,4.7u,
C23,0603,1,2.2u,
C24,0603,1,1u,
"C5, C9",1206,2,10u,
"D1, D4",0603,2,LED,
D2,0603,1,ESDA25P35-1U1M,
D3,0603,1,CD0603-B0240R,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,SAMESKY_UJC-H-G-SMT-2-P6-TR,1,UJC-H-G-SMT-2-P6-TR,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"J6, J7, J8, J9",TestPoint_Pad_2.5x2.5mm,4,Conn_01x01_Socket,
L1,L_Vishay_IHLP-1212,1,2.2uH,
"Q1, Q2, Q4",SOT-23,3,DMG2301L,
Q3,SOT-23,1,MMBT3904,
R1,0603,1,4k,
"R10, R12, R20, R21, R24, R5, R6, R8",0603,8,10k,
"R11, R14, R15, R16",0603,4,1k,
R13,0603,1,10R,
"R17, R18",0603,2,5.1k,
R2,0603,1,100,
R22,0603,1,4k7,
R23,0603,1,630R,
"R25, R26, R28",0603,3,100k,
R27,0603,1,22R,
R3,0603,1,13.7k,
R7,0603,1,1M,
R_OCP1,1206,1,120mR,
S1,SW_SLW-66527511-SMT-TR,1,SLW-66527511-SMT-TR,
SW1,SLLB510100,1,SLLB510100,
TH1,0603,1,103AT-2,
U1,QFN40P400X400X100-29N,1,BQ25792RQMR,
U2,SOP65P640X110-16N,1,S-8254AAWFT-TB-G,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny402-SS,
U4,SOT-23-5,1,NCP718xSN500,
