Designator,Mid X,Mid Y,Rotation,Layer
C1,133.05015,-66.4464,270.0,top
C10,135.18375,-65.278,270.0,bottom
C11,141.12735,-65.3288,90.0,bottom
C12,149.8768,-64.6343,90.0,top
C13,151.1268,-64.6343,90.0,bottom
C14_2,167.1268,-63.2968,90.0,bottom
C14,156.3768,-63.0468,90.0,bottom
C15,165.6268,-67.0468,90.0,top
C16,165.6268,-63.2968,90.0,top
C17,165.6268,-59.5468,90.0,top
C18,100.4128,-65.3288,90.0,bottom
C19,118.543897,-64.129114,270.0,bottom
C2,131.016997,-67.266345,270.0,top
C20,106.8768,-66.7968,180.0,bottom
C21,115.8768,-65.5468,90.0,bottom
C22,107.2708,-64.3128,90.0,bottom
C23,125.8128,-60.7568,180.0,top
C24,130.1308,-57.7088,90.0,top
C3,143.51495,-61.6204,90.0,top
C4,130.3848,-62.23,90.0,top
C5,145.8486,-61.2648,90.0,top
C6,136.30135,-61.468,180.0,top
C7,133.05015,-62.3824,90.0,top
C8,139.95895,-61.468,180.0,top
C9,145.85175,-66.7004,270.0,top
D1,131.9088,-57.7088,270.0,top
D2,98.3808,-65.3288,270.0,bottom
D3,105.5058,-62.2668,180.0,top
D4,111.6268,-70.2968,0.0,top
J1,144.3718,-56.7968,90.0,top
J2,169.8768,-63.3068,0.0,top
J3,98.8798,-66.7118,270.0,top
J4,125.3198,-69.6468,90.0,top
J5,111.5638,-63.2868,180.0,top
L1,138.135499,-58.343073,180.0,top
Q1,162.8768,-65.2968,270.0,top
Q2,162.8768,-61.3593,90.0,top
Q3,115.6528,-59.7408,90.0,bottom
Q4,121.2408,-59.7408,90.0,bottom
R1,134.1948,-57.7088,270.0,top
R10,156.3768,-59.2968,180.0,top
R11,158.367922,-66.730756,180.0,top
R12,154.759366,-66.692062,180.0,top
R13,167.1268,-67.0468,90.0,bottom
R14,167.1268,-59.5468,90.0,top
R15,167.1268,-63.2968,90.0,top
R16,167.1268,-67.0468,90.0,top
R17,104.7438,-68.4898,270.0,top
R18,104.7438,-64.8068,90.0,top
R2,143.41335,-65.8368,270.0,top
R20,118.4468,-68.8848,180.0,top
R21,108.7948,-63.2968,270.0,top
R22,125.3048,-66.0908,270.0,top
R23,114.3768,-69.5468,90.0,top
R24,110.8768,-55.7968,180.0,bottom
R25,127.3728,-57.8548,270.0,bottom
R26,114.3768,-55.7968,180.0,bottom
R27,118.4468,-59.2328,90.0,bottom
R28,124.2528,-57.8548,90.0,bottom
R3,143.41335,-69.5433,90.0,top
R5,141.4798,-69.5433,270.0,top
R6,149.2327,-58.41575,0.0,top
R7,161.6268,-68.214677,180.0,top
R8,149.8768,-61.2968,90.0,top
R_OCP1,168.335409,-70.003641,0.0,bottom
S1,118.4228,-56.6928,180.0,top
SW1,103.1268,-59.2968,0.0,top
TH1,137.084482,-70.1548,180.0,top
U1,138.13015,-65.5828,0.0,top
U2,156.3768,-63.0468,0.0,top
U3,118.4468,-65.0748,270.0,top
U4,125.8128,-57.4548,90.0,top
